genus,species,subspecies,variant,wood
Lycium,intrincatum,,,woody
Psychrophila,introloba,,,non-woody
Caltha,introloba,,,non-woody
Endiandra,introrsa,,,woody
Endiandra,introrsa,,,woody
Mimosa,intsia,,,woody
Carex,intumescens,,,non-woody
Carex,intumescens,,,non-woody
Taraxacum,intumescens,,,non-woody
Launaea,intybacea,,,non-woody
Centaurea,intybacea,,,non-woody
Lactuca,intybacea,,,non-woody
Hieracium,intybaceum,,,non-woody
Cichorium,intybus,,,non-woody
Cichorium,intybus,,,non-woody
Cichorium,intybus,,,non-woody
Cichorium,intybus,,,non-woody
Cichorium,intybus,,,non-woody
Cichorium,intybus,,,non-woody
Cichorium,intybus,,,non-woody
Cichorium,intybus,,,non-woody
Cichorium,intybus,,,non-woody
Cichorium,intybus,,,non-woody
Cichorium,intybus,,,non-woody
Trixis,inula,,,woody
Eupatorium,inulaefolium,,,non-woody
Eupatorium,inulaefolium,,,non-woody
Grindelia,inuloides,,,non-woody
Hieracium,inuloides,,,non-woody
Cinnamomum,inunctum,,,woody
Lycopodiella,inundata,,,non-woody
Ilex,inundata,,,woody
Ilex,inundata,,,woody
Inga,inundata,,,woody
Manilkara,inundata,,,woody
Manilkara,inundata,,,woody
Manilkara,inundata,,,woody
Lycopodiella,inundata,,,non-woody
LYCOPODIELLA,INUNDATA,,,non-woody
Lycopodiella,inundata,,,non-woody
Isolepis,inundata,,,non-woody
Echinochloa,inundata,,,non-woody
Phacelia,inundata,,,non-woody
Dalbergia,inundata,,,woody
Ilex,inundata,,,woody
Albizia,inundata,,,woody
Manilkara,inundata,,,woody
Micrandra,inundata,,,woody
Inga,inundata,,,woody
Euphorbia,inundaticola,,,woody
Apium,inundatum,,,non-woody
Apium,inundatum,,,non-woody
Apium,inundatum,,,non-woody
Apium,inundatum,,,non-woody
Apium,inundatum,,,non-woody
Machaerium,inundatum,,,woody
Scirpus,inundatus,,,non-woody
Wurmbea,inusta,,,non-woody
Hakea,invaginata,,,woody
Hakea,invaginata,,,woody
Hakea,invaginata,,,woody
Eragrostis,invalida,,,non-woody
Carex,inversa,,,non-woody
Mimosa,invisa,,,woody
Trophis,involucrata,,,woody
Trophis,involucrata,,,woody
Trophis,involucrata,,,woody
Trophis,involucrata,,,woody
Trophis,involucrata,,,woody
Trophis,involucrata,,,woody
Trophis,involucrata,,,woody
Trophis,involucrata,,,woody
Loniceria,involucrata,,,woody
Loniceria,involucrata,,,woody
Loniceria,involucrata,,,woody
Loniceria,involucrata,,,woody
Loniceria,involucrata,,,woody
Loniceria,involucrata,,,woody
Loniceria,involucrata,,,woody
Loniceria,involucrata,,,woody
Loniceria,involucrata,,,woody
Lonicera,involucrata,,,woody
Lonicera,involucrata,,,woody
Lonicera,involucrata,,,woody
Leptactina,involucrata,,,woody
Ammochloa,involucrata,,,non-woody
Hyparrhenia,involucrata,,,non-woody
Pandiaka,involucrata,,,non-woody
Ipomoea,involucrata,,,non-woody
Tacca,involucrata,,,non-woody
Faroa,involucrata,,,non-woody
Torenia,involucrata,,,non-woody
Callirhoe,involucrata,,,non-woody
Carlina,involucrata,,,non-woody
Polycarpaea,involucrata,,,non-woody
Navarretia,involucrata,,,non-woody
Primula,involucrata,,,non-woody
Gnidia,involucrata,,,woody
Pilea,involucrata,,,semi-woody
Lonicera,involucrata,,,woody
Scholtzia,involucrata,,,woody
Calytrix,involucrata,,,woody
Zieria,involucrata,,,woody
Nuxia,involucrata,,,woody
Macaranga,involucrata,,,woody
Trophis,involucrata,,,woody
Davidia,involucrata,,,woody
Parartocarpus,involucrata,,,woody
Macaranga,involucrata,,,woody
Papaver,involucratum,,,non-woody
Symphorema,involucratum,,,woody
Papaver,involucratum,,,non-woody
Taraxacum,involucratum,,,non-woody
Gnaphalium,involucratum,,,non-woody
Clerodendrum,involucratum,,,woody
Homalium,involucratum,,,woody
Cyperus,involucratus,,,non-woody
Chaetobromus,involucratus,,,non-woody
Daucus,involucratus,,,non-woody
Euchiton,involucratus,,,non-woody
Blepharocarya,involucrigera,,,woody
Bomarea,involucrosa,,,non-woody
Derris,involuta,,,woody
Carex,involuta,,,non-woody
Calamagrostis,involuta,,,non-woody
Thuarea,involuta,,,non-woody
Pentaschistis,involuta,,,non-woody
Crotalaria,involutifolia,,,non-woody
Chrysanthemum,involutum,,,non-woody
Leymus,involutus,,,non-woody
Bothriocline,inyangana,,,non-woody
Otiophora,inyangana,,,semi-woody
Moraea,inyangani,,,non-woody
Cynoglossum,inyangense,,,non-woody
Dierama,inyangense,,,non-woody
Crotalaria,inyangensis,,,non-woody
Aloe,inyangensis,,,non-woody
Aeschynomene,inyangensis,,,woody
Arabis,inyoensis,,,non-woody
Sporobolus,ioclados,,,non-woody
Salvia,iodantha,,,woody
Zygophyllum,iodocarpum,,,non-woody
Zygophyllum,iodocarpum,,,non-woody
Mappianthus,iodoides,,,woody
Saussurea,iodostegia,,,non-woody
Malus,ioensis,,,woody
Saintpaulia,ionantha,,,non-woody
Tillandsia,ionantha,,,non-woody
Orobanche,ionantha,,,non-woody
Eremophila,ionantha,,,woody
Anemopaegma,ionanthum,,,woody
Crotalaria,ionoptera,,,non-woody
Scleria,iostephana,,,non-woody
Tabebuia,ipe,,,woody
Cephaelis,ipecacuanha,,,woody
Psychotria,ipecacuanha,,,woody
Cephaelis,ipecacuanha,,,woody
Psychotria,ipecacuanha,,,woody
Varthemia,iphionoides,,,woody
Prestonia,ipomaeifolia,,,woody
Prestonia,ipomiifolia,,,woody
Prestonia,ipomiifolia,,,woody
Solanum,ipomoeoides,,,woody
Ouratea,iquitosensis,,,woody
Ouratea,iquitosensis,,,woody
Casearia,iquitosensis,,,woody
Ocotea,ira,,,woody
Ocotea,ira,,,woody
Ocotea,ira,,,woody
Ocotea,ira,,,woody
Festuca,iranica,,,non-woody
Kochia,iranica,,,non-woody
Salsola,iranica,,,woody
Acacia,iraqensis,,,woody
Hypericum,irazuense,,,woody
Hypericum,irazuense,,,woody
Hypericum,irazuense,,,woody
Hypericum,irazuense,,,woody
Hypericum,irazuense,,,woody
Hypericum,irazuense,,,woody
Hypericum,irazuense,,,woody
Hypericum,irazuense,,,woody
Hypericum,irazuense,,,woody
Hypericum,irazuense,,,woody
Hypericum,irazuense,,,woody
Hypericum,irazuense,,,woody
Hypericum,irazuense,,,woody
Melaleuca,irbyana,,,woody
Elymus,ircutensis,,,non-woody
Leucanthemum,ircutianum,,,non-woody
Leucanthemum,ircutianum,,,non-woody
Cyperus,iria,,,non-woody
Hopea,iriana,,,woody
Litsea,irianensis,,,woody
Hieracium,iricum,,,non-woody
Hieracium,iricum,,,non-woody
Alchornea,iricurana,,,woody
Caladenia,iridescens,,,non-woody
Hypoxis,iridifolia,,,non-woody
Bolusiella,iridifolia,,,non-woody
Axonopus,iridifolius,,,non-woody
Dietes,iridioides,,,non-woody
Moraea,iridioides,,,non-woody
Aeschynanthus,irigaensis,,,non-woody
Clematis,iringaensis,,,woody
Crotalaria,iringana,,,semi-woody
Rubus,iringanus,,,woody
Sisymbrium,irio,,,non-woody
Sisymbrium,irio,,,non-woody
Sisymbrium,irio,,,non-woody
Sisymbrium,irio,,,non-woody
Ficus,irisana,,,woody
Heliconia,irrasa,,,non-woody
Grevillea,irrasa,,,woody
Camellia,irrawadiensis,,,woody
Calepina,irregularis,,,non-woody
Calepina,irregularis,,,non-woody
Polygala,irregularis,,,semi-woody
Taraxacum,irrigatum,,,non-woody
Carex,irrigua,,,non-woody
Ribes,irriguum,,,woody
Triodia,irritans,,,non-woody
Triodia,irritans,,,non-woody
Triodia,irritans,,,non-woody
Eulalia,irritans,,,non-woody
Pseudopogonatherum,irritans,,,non-woody
Barleria,irritans,,,semi-woody
Acacia,irrorata,,,woody
Salix,irrorata,,,woody
Acacia,irrorata,,,woody
Festuca,irtyshensis,,,non-woody
Impatiens,irvingii,,,non-woody
Mango,Irwin,,,woody
Licania,irwinii,,,woody
Horsfieldia,irya,,,woody
Myristica,irya,,,woody
Horsfieldia,iryaghedhi,,,woody
Gouinia,isabelensis,,,non-woody
Euphorbia,isacantha,,,woody
Machaerium,isadelphum,,,woody
Atriplex,isatidea,,,woody
Gymnophyton,isatidicarpum,,,non-woody
Senecio,isatidoides,,,semi-woody
Sehima,ischaemoides,,,non-woody
Dichanthium,ischaemum,,,non-woody
Digitaria,ischaemum,,,non-woody
Digitaria,ischaemum,,,non-woody
Dichanthium,ischaemum,,,non-woody
Digitaria,ischaemum,,,non-woody
Bothriochloa,ischaemum,,,non-woody
Bothriochloa,ischaemum,,,non-woody
Digitaria,ischaemum,,,non-woody
Digitaria,ischaemum,,,non-woody
Bothriochloa,ischaemum,,,non-woody
Digitaria,ischaemum,,,non-woody
Andropogon,ischaemum,,,non-woody
Dichanthium,ischaemum,,,non-woody
Andropogon,ischeamum,,,non-woody
Andropogon,ischeamum,,,non-woody
Macrolobium,ischnocalyx,,,woody
Macrolobium,ischnocalyx,,,woody
Haplopappus,ischnos,,,woody
Glyceria,ischyroneura,,,non-woody
Sorbus,isenacensis,,,woody
Albizia,isenbergiana,,,woody
Hieracium,iseranum,,,non-woody
Celosia,isertii,,,non-woody
Koenigia,islandica,,,non-woody
Rorippa,islandica,,,non-woody
Koenigia,islandica,,,non-woody
Rorippa,islandica,,,non-woody
Koenigia,islandica,,,non-woody
Rorippa,islandica,,,non-woody
Rorippa,islandica,,,non-woody
Koenigia,islandica,,,non-woody
Homolepis,isocalycina,,,non-woody
Vittaria,isoetifolia,,,non-woody
Vernonia,isoetifolia,,,non-woody
Platycoryne,isoetifolia,,,non-woody
Syringodium,isoetifolium,,,non-woody
Manihot,isoloba,,,woody
Cleome,isomeris,,,woody
Chordifex,isomorphus,,,non-woody
Agrostis,isopholis,,,non-woody
Persoonia,isophylla,,,woody
Persoonia,isophylla,,,woody
Ptelea,isophylla,,,woody
Taraxacum,isophyllum,,,non-woody
Begonia,isoptera,,,woody
Begonia,isoptera,,,non-woody
Helicteres,isora,,,woody
Oenothera,issleri,,,non-woody
Desmoncus,isthmius,,,woody
Desmoncus,isthmius,,,woody
Asphodeline,isthmocarpa,,,non-woody
Colutea,istria,,,woody
Ziziphus,itacaiunensis,,,woody
Setaria,italica,,,non-woody
Setaria,italica,,,non-woody
Setaria,italica,,,non-woody
Populus,italica,,,woody
Populus,italica,,,woody
Setaria,italica,,,non-woody
Setaria,italica,,,non-woody
Setaria,italica,,,non-woody
Anchusa,italica,,,non-woody
Silene,italica,,,non-woody
Cassia,italica,,,non-woody
Melilotus,italica,,,non-woody
Nepeta,italica,,,non-woody
Scilla,italica,,,non-woody
Orchis,italica,,,non-woody
Phlomis,italica,,,woody
Senna,italica,,,woody
Ostrya,italica,,,woody
Arum,italicum,,,non-woody
Arum,italicum,,,non-woody
Echium,italicum,,,non-woody
Xanthium,italicum,,,non-woody
Arum,italicum,,,non-woody
Arum,italicum,,,non-woody
Arum,italicum,,,non-woody
Xanthium,italicum,,,non-woody
Echium,italicum,,,non-woody
Cirsium,italicum,,,non-woody
Helichrysum,italicum,,,woody
Melilotus,italicus,,,non-woody
Gladiolus,italicus,,,non-woody
Senecio,itatiaiae,,,woody
Symplocos,itatiaiae,,,woody
Weinmannia,itatiaiae,,,woody
Nidularium,itatiaiae,,,non-woody
Briza,itatiaiae,,,non-woody
Senecio,itatiaiae,,,non-woody
Fernseea,itatiaiae,,,non-woody
Vriesea,itatiaiae,,,woody
Weinmannia,itatiaiae,,,woody
Symplocos,itatiaiae,,,woody
Mezilaurus,itauba,,,woody
Mezilaurus,itauba,,,woody
Mezilaurus,ita-uba,,,woody
Eschweilera,itayensis,,,woody
Eschweilera,itayensis,,,woody
Alibertia,itayensis,,,woody
Acacia,iteaphylla,,,woody
Lobelia,iteophylla,,,non-woody
Lasianthus,iteophyllus,,,woody
Delphinium,ithaburense,,,non-woody
Quercus,ithaburensis,,,woody
Begonia,iucunda,,,non-woody
Ajuga,iva,,,semi-woody
Chromolaena,ivaefolia,,,semi-woody
Conyza,ivaefolia,,,semi-woody
Eupatorium,ivaefolium,,,non-woody
Tetraneuris,ivesiana,,,non-woody
Tetraneuris,ivesiana,,,non-woody
Tetraneuris,ivesiana,,,non-woody
Conyza,ivifolia,,,semi-woody
Blechnum,ivohibense,,,non-woody
Acroceras,ivohibense,,,non-woody
Andropogon,ivohibensis,,,non-woody
Erythrophleum,ivorense,,,woody
Erythrophleum,ivorense,,,woody
Gilbertiodendron,ivorense,,,woody
Khaya,ivorensis,,,woody
Terminalia,ivorensis,,,woody
Andropogon,ivorensis,,,non-woody
Terminalia,ivorensis,,,woody
Khaya,ivorensis,,,woody
Gluema,ivorensis,,,woody
Hakea,ivoryi,,,woody
Hakea,ivoryi,,,woody
Alstonia,iwahigensis,,,woody
Phyllospadix,iwatensis,,,non-woody
Sapium,ixiamasense,,,woody
Sapium,ixiamasense,,,woody
Sapium,ixiamasense,,,woody
Lepiderema,ixiocarpa,,,woody
Leucocoryne,ixioides,,,non-woody
Thelymitra,ixioides,,,non-woody
Leucocoryne,ixioides,,,non-woody
Triteleia,ixioides,,,non-woody
Dilatris,ixioides,,,non-woody
Thelymitra,ixioides,,,non-woody
Brodiaea,ixioides,,,non-woody
Libertia,ixioides,,,non-woody
Acacia,ixiophylla,,,woody
Physalis,ixocarpa,,,non-woody
Psychotria,ixoroides,,,woody
Carex,iynx,,,non-woody
Citrus,iyo,,,woody
Pouteria,izabalensis,,,woody
Pouteria,izabalensis,,,woody
Myrciaria,jaboticaba,,,woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Centaurea,jacea,,,non-woody
Podolepis,jaceoides,,,non-woody
Carex,jackiana,,,non-woody
Pternandra,jackiana,,,woody
Elaeocarpus,jackianus,,,woody
Crataegus,jackii,,,woody
Eucalyptus,jacksoni,,,woody
Erica,jacksoniana,,,woody
Hibiscus,jacksonianus,,,non-woody
Eucalyptus,jacksonii,,,woody
Eucalyptus,jacksonii,,,woody
Senecio,jacobaea,,,non-woody
Senecio,jacobaea,,,non-woody
Senecio,jacobaea,,,non-woody
Senecio,jacobaea,,,non-woody
Senecio,jacobaea,,,non-woody
Senecio,jacobaea,,,non-woody
Senecio,jacobaea,,,non-woody
Senecio,jacobaea,,,non-woody
Senecio,jacobaea,,,non-woody
Senecio,jacobaea,,,non-woody
Senecio,jacobaea,,,non-woody
Senecio,jacobaea,,,non-woody
Hermannia,jacobeifolia,,,semi-woody
Corymbia,jacobsiana,,,woody
Eragrostis,jacobsiana,,,non-woody
Bambusa,jacobsii,,,woody
Eschweilera,jacquelyniae,,,woody
Parrotia,jacquemontiana,,,woody
Parrotiopsis,jacquemontiana,,,woody
Piper,jacquemontianum,,,woody
Melica,jacquemontii,,,non-woody
Elymus,jacquemontii,,,non-woody
Melanocenchris,jacquemontii,,,non-woody
Sporobolus,jacquemontii,,,non-woody
Arisaema,jacquemontii,,,non-woody
Betula,jacquemontii,,,woody
Crepis,jacquini,,,non-woody
Senecio,jacquinianus,,,non-woody
Juncus,jacquinii,,,non-woody
Oxytropis,jacquinii,,,non-woody
Lapeirousia,jacquinii,,,non-woody
Stromanthe,jacquinii,,,non-woody
Reseda,jacquinii,,,non-woody
Crepis,jacquinii,,,non-woody
Sonchus,jacquinii,,,non-woody
Trachelium,jacquinii,,,non-woody
Veronica,jacquinii,,,non-woody
Gyrocarpus,jacquinii,,,woody
Elymus,jacutensis,,,non-woody
Festuca,jacutica,,,non-woody
Carex,jaegeri,,,non-woody
Eleusine,jaegeri,,,non-woody
Ipomoea,jaegeri,,,woody
Stachyphrynium,jagorianum,,,non-woody
Helictotrichon,jahandiezii,,,non-woody
Agrostis,jahnii,,,non-woody
Thibaudia,jahnii,,,woody
Annona,jahnii,,,woody
Manilkara,jaimiqui,,,woody
Dimeria,jainii,,,non-woody
Dichanthium,jainii,,,non-woody
Mirabilis,jalapa,,,non-woody
Bivinia,jalbertii,,,woody
Aristida,jaliscana,,,non-woody
Brachiaria,jaliscana,,,non-woody
Echinochloa,jaliscana,,,non-woody
Festuca,jaliscana,,,non-woody
Coulterophytum,jaliscense,,,woody
Carex,jaluensis,,,non-woody
Cereus,jamacaru,,,woody
Solanum,jamaicense,,,woody
Macrocnemum,jamaicense,,,woody
Mosquitoxylum,jamaicense,,,woody
Mosquitoxylum,jamaicense,,,woody
Sapium,jamaicense,,,woody
Solanum,jamaicense,,,woody
Cladium,jamaicense,,,non-woody
Cladium,jamaicense,,,non-woody
Cladium,jamaicense,,,non-woody
Mosquitoxylum,jamaicense,,,woody
Sapium,jamaicense,,,woody
Macrocnemum,jamaicense,,,woody
Solanum,jamaicense,,,woody
Lyonia,jamaicensis,,,woody
Allophylus,jamaicensis,,,woody
Brunfelsia,jamaicensis,,,woody
Hyeronima,jamaicensis,,,woody
Maytenus,jamaicensis,,,woody
Polygala,jamaicensis,,,woody
Salvia,jamaicensis,,,woody
Sloanea,jamaicensis,,,woody
Salvia,jamaicensis,,,woody
Stachytarpheta,jamaicensis,,,woody
Brunfelsia,jamaicensis,,,woody
Polygala,jamaicensis,,,woody
Maytenus,jamaicensis,,,woody
Lyonia,jamaicensis,,,woody
Sloanea,jamaicensis,,,woody
Hernandia,jamaicensis,,,woody
Antirhea,jamaicensis,,,woody
Allophylus,jamaicensis,,,woody
Hyeronima,jamaicensis,,,woody
Coccothrinax,jamaicensis,,,woody
Prunus,jamasakura,,,woody
Citrus,jambhiri,,,woody
Eugenia,jambolana,,,woody
Eugenia,jambolana,,,woody
Eugenia,jamboloides,,,woody
Syzygium,jambos,,,woody
Syzygium,jambos,,,woody
Syzygium,jambos,,,woody
Eugenia,jambos,,,woody
Gynopachis,jambosoides,,,woody
Pseudostellaria,jamesiana,,,non-woody
Pleuraphis,jamesii,,,non-woody
Pleuraphis,jamesii,,,non-woody
Pleuraphis,jamesii,,,non-woody
Pleuraphis,jamesii,,,non-woody
Pleuraphis,jamesii,,,non-woody
Pleuraphis,jamesii,,,non-woody
Pleuraphis,jamesii,,,non-woody
Pleuraphis,jamesii,,,non-woody
Pleuraphis,jamesii,,,non-woody
Pleuraphis,jamesii,,,non-woody
Hilaria,jamesii,,,non-woody
Hilaria,jamesii,,,non-woody
Pleuraphis,jamesii,,,non-woody
Craspedia,jamesii,,,non-woody
Ligularia,jamesii,,,non-woody
Oenothera,jamesii,,,non-woody
Frankenia,jamesii,,,woody
Gerbera,jamesoni,,,non-woody
Calamagrostis,jamesonii,,,non-woody
Goodenia,janamba,,,non-woody
Bischofia,janavica,,,woody
Flacourtia,jangomas,,,woody
Thlaspi,jankae,,,non-woody
Chamaecytisus,jankae,,,woody
Digitaria,jansenii,,,non-woody
Festuca,jansenii,,,non-woody
Terminalia,januarensis,,,woody
Sabal,japa,,,woody
Eriobotrya,japanica,,,woody
Bromus,japanicus,,,non-woody
Roegneria,japonensis,,,non-woody
Aucuba,japonica,,,woody
Aucuba,japonica,,,woody
Kerria,japonica,,,non-woody
Reynoutria,japonica,,,non-woody
Reynoutria,japonica,,,non-woody
Reynoutria,japonica,,,non-woody
Torilis,japonica,,,non-woody
Torilis,japonica,,,non-woody
Torilis,japonica,,,non-woody
Ardisia,japonica,,,woody
Aucuba,japonica,,,woody
Camellia,japonica,,,woody
Cleyera,japonica,,,woody
Cryptomeria,japonica,,,woody
Eriobotrya,japonica,,,woody
Eurya,japonica,,,woody
Euscaphis,japonica,,,woody
Lonicera,japonica,,,woody
Machilus,japonica,,,woody
Maesa,japonica,,,woody
Pieris,japonica,,,woody
Skimmia,japonica,,,woody
Stephania,japonica,,,non-woody
Woodwardia,japonica,,,non-woody
Fallopia,japonica,,,non-woody
Torilis,japonica,,,non-woody
Eriobotrya,japonica,,,woody
Eurya,japonica,,,woody
Eurya,japonica,,,woody
Eurya,japonica,,,woody
Eurya,japonica,,,woody
Eurya,japonica,,,woody
Eurya,japonica,,,woody
Eurya,japonica,,,woody
Eurya,japonica,,,woody
Maesa,japonica,,,woody
Maesa,japonica,,,woody
Maesa,japonica,,,woody
Eurya,japonica,,,woody
Sophora,japonica,,,woody
Saussurea,japonica,,,non-woody
Ulmus,japonica,,,woody
Dendrobenthamia,japonica,,,woody
Lonicera,japonica,,,woody
Ulmus,japonica,,,woody
Ulmus,japonica,,,woody
Sophora,japonica,,,woody
Kerria,japonica,,,woody
Ulmus,japonica,,,woody
Cerasus,japonica,,,woody
Eriobotrya,japonica,,,woody
Dendrobenthamia,japonica,,,woody
Camellia,japonica,,,woody
Cleyera,japonica,,,woody
Cryptomeria,japonica,,,woody
Sophora,japonica,,,woody
Fallopia,japonica,,,non-woody
Torilis,japonica,,,non-woody
Fallopia,japonica,,,non-woody
Fallopia,japonica,,,non-woody
Lonicera,japonica,,,woody
Lonicera,japonica,,,woody
Lonicera,japonica,,,woody
Lonicera,japonica,,,woody
Lonicera,japonica,,,woody
Cryptomeria,japonica,,,woody
Chaenomeles,japonica,,,woody
Mahonia,japonica,,,woody
Prunus,japonica,,,woody
Spiraea,japonica,,,woody
Ulmus,japonica,,,woody
Ulmus,japonica,,,woody
Ulmus,japonica,,,woody
Eriobotrya,japonica,,,woody
Eurya,japonica,,,woody
Eurya,japonica,,,woody
Eurya,japonica,,,woody
Lonicera,japonica,,,woody
Ulmus,japonica,,,woody
Ulmus,japonica,,,woody
Ulmus,japonica,,,woody
Lonicera,japonica,,,woody
Ulmus,japonica,,,woody
Ulmus,japonica,,,woody
Eurya,japonica,,,woody
Eurya,japonica,,,woody
Ulmus,japonica,,,woody
Ulmus,japonica,,,woody
Lonicera,japonica,,,woody
Cryptomeria,japonica,,,woody
Cryptotaenia,japonica,,,non-woody
Cryptomeria,japonica,,,woody
Cryptomeria,japonica,,,woody
Stephania,japonica,,,non-woody
Lonicera,japonica,,,woody
Kadsura,japonica,,,woody
Cayratia,japonica,,,woody
Calystegia,japonica,,,non-woody
Dioscorea,japonica,,,non-woody
Heterosmilax,japonica,,,woody
Peperomia,japonica,,,non-woody
Woodwardia,japonica,,,non-woody
Pseudosasa,japonica,,,woody
Eragrostis,japonica,,,non-woody
Muhlenbergia,japonica,,,non-woody
Zoysia,japonica,,,non-woody
Coelachne,japonica,,,non-woody
Diarrhena,japonica,,,non-woody
Festuca,japonica,,,non-woody
Hystrix,japonica,,,non-woody
Leersia,japonica,,,non-woody
Themeda,japonica,,,non-woody
Achyranthes,japonica,,,non-woody
Cryptotaenia,japonica,,,non-woody
Torilis,japonica,,,non-woody
Saussurea,japonica,,,non-woody
Artemisia,japonica,,,non-woody
Crepis,japonica,,,non-woody
Scabiosa,japonica,,,non-woody
Sagina,japonica,,,non-woody
Fallopia,japonica,,,non-woody
Primula,japonica,,,non-woody
Inula,japonica,,,non-woody
Youngia,japonica,,,non-woody
Picris,japonica,,,non-woody
Wasabia,japonica,,,non-woody
Heloniopsis,japonica,,,non-woody
Myrmechis,japonica,,,non-woody
Anemone,japonica,,,non-woody
Astilbe,japonica,,,non-woody
Reynoutria,japonica,,,semi-woody
Fatsia,japonica,,,woody
Mahonia,japonica,,,woody
Pieris,japonica,,,woody
Aucuba,japonica,,,woody
Helwingia,japonica,,,woody
Maesa,japonica,,,woody
Chaenomeles,japonica,,,woody
Kerria,japonica,,,woody
Spiraea,japonica,,,woody
Andromeda,japonica,,,woody
Euscaphis,japonica,,,woody
Hamamelis,japonica,,,woody
Ternstroemia,japonica,,,woody
Prunus,japonica,,,woody
Skimmia,japonica,,,woody
Polygala,japonica,,,woody
Ardisia,japonica,,,woody
Orixa,japonica,,,woody
Salix,japonica,,,woody
Cleyera,japonica,,,woody
Eurya,japonica,,,woody
Camellia,japonica,,,woody
Callicarpa,japonica,,,woody
Microtropis,japonica,,,woody
Sorbus,japonica,,,woody
Fortunella,japonica,,,woody
Chamaecyparis,japonica,,,woody
Alnus,japonica,,,woody
Carpinus,japonica,,,woody
Ostrya,japonica,,,woody
Sophora,japonica,,,woody
Gleditsia,japonica,,,woody
Fagus,japonica,,,woody
Tilia,japonica,,,woody
Eriobotrya,japonica,,,woody
Ulmus,japonica,,,woody
Cryptomeria,japonica,,,woody
Pseudotsuga,japonica,,,woody
Diospyros,japonica,,,woody
Machilus,japonica,,,woody
Persea,japonica,,,woody
Pyrus,japonica,,,woody
Cordia,japonica,,,woody
Lespedeza,japonica,,,woody
Buddleja,japonica,,,woody
Cinnamomum,japonicum,,,woody
Ligustrum,japonicum,,,woody
Ligustrum,japonicum,,,woody
Cinnamomum,japonicum,,,woody
Cercidiphyllum,japonicum,,,woody
Cercidiphyllum,japonicum,,,woody
Cercidiphyllum,japonicum,,,woody
Styphnolobium,japonicum,,,woody
Styphnolobium,japonicum,,,woody
Styphnolobium,japonicum,,,woody
Cercidiphyllum,japonicum,,,woody
Styphnolobium,japonicum,,,woody
Tripterospermum,japonicum,,,non-woody
Anthoxanthum,japonicum,,,non-woody
Brachyelytrum,japonicum,,,non-woody
Sorghum,japonicum,,,non-woody
Gnaphalium,japonicum,,,non-woody
Geum,japonicum,,,non-woody
Cirsium,japonicum,,,non-woody
Xanthium,japonicum,,,non-woody
Phtheirospermum,japonicum,,,non-woody
Hylomecon,japonicum,,,non-woody
Hypericum,japonicum,,,semi-woody
Vaccinium,japonicum,,,woody
Viscum,japonicum,,,woody
Ligustrum,japonicum,,,woody
Antidesma,japonicum,,,woody
Xylosma,japonicum,,,woody
Cercidiphyllum,japonicum,,,woody
Cinnamomum,japonicum,,,woody
Acer,japonicum,,,woody
Sapium,japonicum,,,woody
Rumex,japonicus,,,non-woody
Bromus,japonicus,,,non-woody
Bromus,japonicus,,,non-woody
Lathyrus,japonicus,,,non-woody
Lathyrus,japonicus,,,non-woody
Petasites,japonicus,,,non-woody
Elaeocarpus,japonicus,,,woody
Lasianthus,japonicus,,,woody
Lathyrus,japonicus,,,non-woody
Leonurus,japonicus,,,non-woody
Elaeocarpus,japonicus,,,woody
Lathyrus,japonicus,,,non-woody
Petasites,japonicus,,,non-woody
Lathyrus,japonicus,,,non-woody
Bromus,japonicus,,,non-woody
Bromus,japonicus,,,non-woody
Bromus,japonicus,,,non-woody
Bromus,japonicus,,,non-woody
Lathyrus,japonicus,,,non-woody
Humulus,japonicus,,,non-woody
Bromus,japonicus,,,non-woody
Alopecurus,japonicus,,,non-woody
Miscanthus,japonicus,,,non-woody
Ophiopogon,japonicus,,,non-woody
Petasites,japonicus,,,non-woody
Leonurus,japonicus,,,non-woody
Rumex,japonicus,,,non-woody
Ranunculus,japonicus,,,non-woody
Chloranthus,japonicus,,,non-woody
