genus,species,subspecies,variant,span
Amaranthus,muricatus,,,annual/perennial
Mammillaria,nazasensis,,,perennial
Struthanthus,gracilis,,,perennial
Abies,concolor,,,perennial
Taxillus,limprichtii,,,perennial
Frangula,betulifolia,betulifolia,,perennial
Eucephalus,brickellioides,,,perennial
Cirsium,crassicaule,,,annual
Cirsium,cymosum,,,perennial
Cirsium,fontinale,,,perennial
Lepechinia,fragrans,,,perennial
Cirsium,hydrophilum,,,perennial
Cirsium,inamoenum,,,perennial
Downingia,laeta,,,annual
Physocarpus,malvaceus,,,perennial
Cirsium,mohavense,,,perennial
Eremalche,parryi,,,annual
Dendrophthora,constricta,,,perennial
Dendrophthora,epiviscum,,,perennial
Centaurium,exaltatum,,,annual
Lasianthus,lanceolatus,,,perennial
Dendrophthora,serpyllifolia,,,perennial
Dendrophthora,sessilifolia,,,perennial
Melica,subulata,,,perennial
Dendrophthora,tetrastachya,,,perennial
Apodanthes,berteroi,,,perennial
Amylotheca,banksiana,,,perennial
Tolypanthus,esquirolii,,,perennial
Bouteloua,gracilis,,,perennial
Mammillaria,capensis,,,perennial
Mammillaria,hutchisoniana,,,perennial
Mammillaria,petrophila,baxteriana,,perennial
Fragaria,nipponica,,yezoensis,perennial
Phoradendron,polygynum,,,perennial
Aralia,melanocarpa,,,perennial
Elatostema,myrtillus,,,perennial
Arceuthobium,sichuanense,,,perennial
Macrosolen,bibracteolatus,,,perennial
Taxillus,nigrans,,,perennial
Scurrula,notothixoides,,,perennial
Helixanthera,sampsonii,,,perennial
Boehmeria,tricuspis,,,perennial
Thalictrum,acutifolium,,,perennial
Elatostema,brachyodontum,,,perennial
Pilea,salwinensis,,,perennial
Pilea,subcoriacea,,,perennial
Boehmeria,umbrosa,,,perennial
Cirsium,viridifolium,,,perennial
Rhoiacarpos,capensis,,,perennial
Begonia,lobbii,,,perennial
Dicentra,formosa,,,perennial
Begonia,formosana,,,perennial
Taxillus,liquidambaricola,,,perennial
Silene,morrisonmontana,,,perennial
Viscum,multinerve,,,perennial
Scurrula,phoebe-formosanae,,,perennial
Taxillus,theifer,,,perennial
Pisonia,albida,,,perennial
Decaisnina,celebica,,,perennial
Pilea,angolensis,,,annual
Phragmanthera,engleri,,,perennial
Phragmanthera,sterculiae,,,perennial
Gaertnera,stictophylla,,,perennial
Gaertnera,trachystyla,,,perennial
Phragmanthera,zygiarum,,,perennial
Labordia,pumila,,,perennial
Nassella,lepida,,,perennial
Nassella,pulchra,,,perennial
Urochloa,brizantha,,,perennial
Agelanthus,platyphyllus,,,perennial
Oncocalyx,schimperi,,,perennial
Osyridicarpos,schimperianus,,,perennial
Oncocalyx,quinquenervius,,,perennial
Psittacanthus,cordatus,,,perennial
Psittacanthus,biternatus,,,perennial
Pipturus,albidus,,,perennial
Eubrachion,ambiguum,,,perennial
Pilea,anisophylla,,,perennial
Umbellularia,californica,,,perennial
Eriodictyon,californicum,,,perennial
Korthalsella,chilense,,,perennial
Peraxilla,colensoi,,,perennial
Lithocarpus,densiflorus,,,perennial
Phoradendron,falcifrons,,,perennial
Perideridia,gairdneri,,,perennial
Senna,gaudichaudii,,,perennial
Dendrotrophe,granulata,,,perennial
Sphaeralcea,grossulariifolia,,,perennial
Sidalcea,malachroides,,,perennial
Phragmanthera,nigritana,,,perennial
Jodina,rhombifolia,,,perennial
Helixanthera,terrestris,,,perennial
Agoseris,aurantiaca,,,perennial
Packera,cana,,,perennial
Ceanothus,cuneatus,,,perennial
Rorippa,curvisiliqua,,,annual/biennial
Chaenactis,douglasii,,,biennial/perennial
Deschampsia,elongata,,,perennial
Erigeron,filifolius,,,perennial
Cirsium,foliosum,,,perennial
Cirsium,foliosum,,,perennial
Balsamorhiza,hookeri,,,perennial
Balsamorhiza,hookeri,,,perennial
Abies,lasiocarpa,,,perennial
Erigeron,linearis,,,perennial
Calamovilfa,longifolia,,,perennial
Aetanthus,macranthus,,,perennial
Kalmia,microphylla,,,perennial
Poa,nervosa,,,perennial
Microseris,nutans,,,perennial
Cirsium,remotifolium,,,perennial
Grayia,spinosa,,,perennial
Allium,tolmiei,,,perennial
Sarcobatus,vermiculatus,,,perennial
Chrysothamnus,viscidiflorus,,,perennial
Bromus,vulgaris,,,perennial
Gunnera,cordifolia,,,perennial
Cirsium,eriophoroides,,,perennial
Gaertnera,madagascariensis,,,perennial
Thinopyrum,intermedium,,,perennial
Sidalcea,malviflora,,,perennial
Dendrotrophe,polyneura,,,perennial
Ongokea,gore,,,perennial
Berula,erecta,,,perennial
Maurandella,antirrhiniflora,,,perennial
Arceuthobium,vaginatum,,,perennial
Phragmanthera,sarertaensis,,,perennial
Begonia,lehmannii,,,perennial
Leymus,condensatus,,,perennial
Muhlenbergia,repens,,,perennial
Tapinanthus,oleifolius,,,perennial
Carphephorus,paniculatus,,,perennial
Mammillaria,brandegeei,,,perennial
Lomatium,canbyi,,,perennial
Mammillaria,densispina,,,perennial
Perideridia,parishii,,,perennial
Mammillaria,pondii,setispina,,perennial
Dulacia,egleri,,,perennial
Dulacia,papillosa,,,perennial
Helixanthera,coccinea,,,perennial
Scurrula,ferruginea,,,perennial
Taxillus,ferrugineus,,,perennial
Urochloa,maxima,,,perennial
Sabal,minor,,,perennial
Gliricidia,sepium,,,perennial
Struthanthus,sessilis,,,perennial
Oryctanthus,spicatus,,,perennial
Mertensia,ciliata,,,perennial
Crepis,runcinata,,,perennial
Ratibida,tagetes,,,perennial
Asparagus,angusticladus,,,perennial
Phragmanthera,dombeyae,,,perennial
Amylotheca,longifolia,,,perennial
Amylotheca,schlechteri,,,perennial
Gaertnera,leucothyrsa,,,perennial
Pilostyles,ingae,,,perennial
Polystichum,munitum,,,perennial
Salvia,dorrii,,,perennial
Chrysolepis,sempervirens,,,perennial
Psittacanthus,linearis,,,perennial
Psittacanthus,tumbecensis,,,perennial
Kingella,scortechinii,,,perennial
Begonia,boucheana,,,perennial
Begonia,convolvulacea,,,perennial
Begonia,cumingiana,,,perennial
Begonia,fruticosa,,,perennial
Begonia,glauca,,,perennial
Galium,hoffmeisteri,,,perennial
Begonia,huegelii,,,perennial
Begonia,ignea,,,perennial
Begonia,monadelpha,,,perennial
Croton,pottsii,,,perennial
Begonia,princeps,,,perennial
Begonia,pruinata,,,perennial
Begonia,rhizocaulis,,,perennial
Begonia,rigida,,,perennial
Begonia,rutilans,,,perennial
Croton,texensis,,,annual
Begonia,zollingeriana,,,perennial
Viscum,coloratum,,,perennial
Baratranthus,axanthus,,,perennial
Lasianthus,chrysoneurus,,,perennial
Dendrophthoe,lanosa,,,perennial
Mammillaria,kraehenbuehlii,,,perennial
Peristethium,aequatoris,,,perennial
Phtirusa,hutchisonii,,,perennial
Peristethium,lojae,,,perennial
Phtirusa,macrophylla,,,perennial
Peristethium,nitidum,,,perennial
Oryctina,pedunculata,,,perennial
Peristethium,peruviense,,,perennial
Peristethium,primarium,,,perennial
Phtirusa,rhynchophylla,,,perennial
Peristethium,tortistylum,,,perennial
Oryctanthus,alveolatus,,,perennial
Phoradendron,angustifolium,,,perennial
Bouteloua,aristidoides,,,annual
Lepechinia,bullata,,,perennial
Bouteloua,chondrosioides,,,perennial
Asparagus,densiflorus,,,perennial
Asparagus,denudatus,,,perennial
Psittacanthus,divaricatus,,,perennial
Leptochloa,dubia,,,perennial
Psittacanthus,eucalyptifolius,,,perennial
Asparagus,flagellaris,,,perennial
Struthanthus,interruptus,,,perennial
Asparagus,kraussianus,,,perennial
Asparagus,krebsianus,,,perennial
Peristethium,leptostachyum,,,perennial
Oryctanthus,lucarquensis,,,perennial
Cladocolea,microphylla,,,perennial
Asparagus,microraphis,,,perennial
Asparagus,minutiflorus,,,perennial
Aetanthus,mutisii,,,perennial
Struthanthus,orbicularis,,,perennial
Lepechinia,paniculata,,,perennial
Struthanthus,phillyreoides,,,perennial
Phoradendron,piperoides,,,perennial
Passovia,pyrifolia,,,perennial
Phoradendron,quadrangulare,,,perennial
Bouteloua,repens,,,perennial
Asparagus,rubricaulis,,,perennial
Lepechinia,salviifolia,,,perennial
Asparagus,setaceus,,,perennial
Machaeranthera,tanacetifolia,,,annual/biennial
Cryptomeria,japonica,,,perennial
Crataegus,phaenopyrum,,,perennial
Peraxilla,tetrapetala,,,perennial
SILENE,ACAULIS,,,perennial
Eleocharis,acicularis,,,annual/biennial
Magnolia,acuminata,,,perennial
Silene,aegyptiaca,,,annual
Carya,alba,,,perennial
Symphoricarpos,albus,,,perennial
Pennisetum,alopecuroides,,,perennial
Arctostaphylos,alpina,,,perennial
Cirsium,altissimum,,,perennial
Justicia,americana,,,perennial
Bouteloua,americana,,,perennial
Campanulastrum,americanum,,,annual
Chamerion,angustifolium,angustifolium,,perennial
Argentina,anserina,,,perennial
