genus,species,subspecies,variant,nfix
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,no
Triticum,aestivum,,,yes
Leucojum,aestivum,,,no
Triticum,aestivum,,,no
Asphodelus,aestivus,,,no
Carex,aethiopica,,,yes
Zantedeschia,aethiopica,,,no
Melolobium,aethiopicum,,,yes
Prionostema,Aspera,,,no
Prionostema,Aspera,,,no
Prionostema,Aspera,,,no
Prionostema,Aspera,,,no
Prionostema,Aspera,,,no
Prionostema,Aspera,,,no
Prionostema,Aspera,,,no
Prionostema,Aspera,,,no
Prionostema,Aspera,,,no
Licaria,coriacea,,,no
Desmodium,affine,,,yes
Eriosema,affine,,,yes
Trifolium,affine,,,yes
Inga,affinis,,,yes
Prosopis,affinis,,,yes
Mimosa,affinis,,,yes
