Genus,Species,Subspecies,Variant,Weight (g)
Hypericum,barbatum,,,0.1
Hypericum,barbatum,calabricum,,0.1428
Hypericum,beanii,,,0.0991
Hypericum,boreale,,,0.02
Hypericum,bupleuroides,,,0.1469925
Hypericum,calycinum,,,0.4
Hypericum,caprifolium,,,0.0288
Hypericum,cerastioides,,,0.262
Hypericum,cistifolium,,,0.03
Hypericum,coadunatum,,,0.0304
Hypericum,concinnum,,,0.261
Hypericum,confertum,,,0.6948
Hypericum,coris,,,0.1728
Hypericum,crux-andreae,,,0.08596
Hypericum,curvisepalum,,,0.0394
Hypericum,dolabriforme,,,0.5792
Hypericum,elegans,,,0.1372
Hypericum,ellipticum,,,0.03
Hypericum,elodes,,,0.073
Hypericum,erectum,,,0.06
Hypericum,fasciculatum,,,0.0536
Hypericum,foliosum,,,0.0796
Hypericum,formosum,scouleri,,0.155
Hypericum,forrestii,,,0.078
Hypericum,galioides,,,0.039
Hypericum,gentianoides,,,0.038
Hypericum,gramineum,,,0.026
Hypericum,gymnanthum,,,0.01
Hypericum,henryi,,,0.048
Hypericum,henryi,uraloides,,0.0656
Hypericum,henryi,hancockii,,0.0713
Hypericum,hircinum,hircinum,,0.056
Hypericum,hircinum,cambessedessii,,0.056
Hypericum,hircinum,,,0.081
Hypericum,hirsutum,,,0.08
Hypericum,humifusum,,,0.0368
Hypericum,hypericoides,,,0.1685
Hypericum,hyssopifolium,,,0.6
Hypericum,japonicum,,,0.0299
Hypericum,kalmianum,,,0.083
Hypericum,lagarocladum,,,0.0948
Hypericum,lalandii,,,0.0262
Hypericum,lancasteri,,,0.0704
Hypericum,lanuginosum,,,0.063
Hypericum,libanoticum,,,0.8966
Hypericum,linariifolium,,,0.0562
Hypericum,linarioides,,,0.235
Hypericum,linearioides,,,0.15
Hypericum,lydium,,,1.0197
Hypericum,maclarenii,,,0.0788
Hypericum,maculatum,maculatum,,0.0556
Hypericum,maculatum,,,0.0363
Hypericum,maculatum,immaculatum,,0.062
Hypericum,maculatum,obtusiusculum,,0.0808
Hypericum,majus,,,0.011
Hypericum,mitchellianum,,,0.0852
Hypericum,montanum,,,0.05
Hypericum,montbretii,,,0.1092
Hypericum,mutilum,,,0.062
Hypericum,myrtifolium,,,0.0824
Hypericum,mysurense,,,0.1629032
Hypericum,nummularioides,,,0.045744
Hypericum,olivieri,,,2.7436
Hypericum,olympicum,,,0.2136
Hypericum,orientale,,,0.1435
Hypericum,origanifolium,,,0.4264
Hypericum,pallens,,,0.16636
Hypericum,patulum,,,0.0651
Hypericum,perfoliatum,,,0.152
Hypericum,perforatum,,,0.2
Hypericum,perforatum,veronense,,0.1832
Hypericum,prolificum,,,0.1
Hypericum,pruinatum,,,0.142
Hypericum,pseudohenryi,,,0.0947
Hypericum,pulchrum,,,0.09
Hypericum,punctatum,,,0.046
Hypericum,reflexum,,,0.0174
Hypericum,revolutum,revolutum,,0.02564
Hypericum,revolutum,,,0.05
Hypericum,richeri,,,0.129
Hypericum,richeri,richeri,,0.1076
Hypericum,roeperianum,,,0.045
Hypericum,rumeliacum,,,0.4376
Hypericum,scabrum,,,0.676
Hypericum,scioanum,,,0.024
Hypericum,scruglii,,,0.082
Hypericum,sphaerocarpum,,,0.7156
Hypericum,spruneri,,,0.02896
Hypericum,tetrapetalum,,,0.0696
Hypericum,tetrapterum,,,0.1
Hypericum,tetrapterum,,corsicum,0.03996
Hypericum,thymifolium,,,0.282
Hypericum,tomentosum,,,0.0744
Hypericum,triquetrifolium,,,0.6
Hypericum,undulatum,,,0.03
Hypericum,uralum,,,0.06292
Hypericum,uralum,,,0.0176
Hypericum,wightianum,,,0.024
Hypericum,xylosteifolium,,,0.098
Hypocalymma,angustifolium,,,0.37
Hypocalymma,phillipsii,,,0.36
Hypocalymma,tenuatum,,,0.382973
Hypocalymma,tetrapterum,,,0.69468
Hypocalyptus,coluteoides,,,13.6
Hypocalyptus,oxalidifolius,,,9.278
Hypocalyptus,sophoroides,,,25.9
Iberis,amara,,,2.3
Iberis,aurosica,nana,,2.4849421
Iberis,carnosa,,,1.5408
Iberis,ciliata,welwitschii,,0.8528
Iberis,coronaria,,,2.98
Iberis,odorata,,,1.637
Iberis,pectinata,,,0.7256
Iberis,procumbens,microcarpa,,0.8356
Iberis,pruitii,,,1.4236
Iberis,sempervirens,,,2.47
Iberis,umbellata,,,0.8
Ibervillea,lindheimeri,,,24.712
Ibervillea,tenuisecta,,,17.2752
Idesia,polycarpa,,,1.8
Iliamna,latibracteata,,,0.571
Indigastrum,argyroides,,,0.8516
Indigastrum,candidissimum,,,1.6884
Indigastrum,guerranum,,,0.944
Indigastrum,parviflorum,,,2.5538
Indigofera,adenocarpa,,,1.2948
Indigofera,alopecuroides,,,1.8434629
Indigofera,alternans,,alternans,0.9176
Indigofera,anabibensis,,,0.6348
Indigofera,antunesiana,,,3.0656
Indigofera,arenophila,,,1.4636364
Indigofera,argentea,,,1.987
Indigofera,arrecta,,,3.1236
Indigofera,articulata,,,6.802
Indigofera,astragalina,,,4.7
Indigofera,atriceps,kaessneri,,1.2074
Indigofera,atropurpurea,,,7.2172
Indigofera,auricoma,,,1.074
Indigofera,australis,,,5.1
Indigofera,baileyi,,,3.8152439
Indigofera,baumiana,,,5.4912
Indigofera,berhautiana,,,0.82
Indigofera,blaiseae,,,2.884
Indigofera,bogdanii,,bogdanii,4.59
Indigofera,boinensis,,,1.0544
Indigofera,brachystachya,,,3.2
Indigofera,bracteolata,,,1.676
Indigofera,burttii,,,0.7076
Indigofera,capillaris,,,3.2352941
Indigofera,capitata,,,1.448
Indigofera,caudata,,,4.6236
Indigofera,charlieriana,,,0.9324
Indigofera,circinella,,,1.12236
Indigofera,circinnata,,,2.2338
Indigofera,coerulea,,,7.356
Indigofera,coerulea,,occidentalis,6.0746
Indigofera,colutea,,,0.9
Indigofera,congesta,,,0.774
Indigofera,conzattii,,,4.2376
Indigofera,cordifolia,,,0.813
Indigofera,costatum,gonoides,,1.4844
Indigofera,cryptantha,,,4.74
Indigofera,cryptantha,,cryptantha,6.52
Indigofera,cuernavacana,,,3.9344
Indigofera,cuneata,,,0.7884
Indigofera,cuneifolia,,cuneifolia,7.9700229
Indigofera,cunenensis,,,1.179
Indigofera,daleoides,,,1.0752
Indigofera,deightonii,,,2.1710256
Indigofera,deightonii,rhodesica,,1.45868
Indigofera,deightonii,deightonii,,1.2624
Indigofera,delavayi,,,6.05004
Indigofera,demissa,,,0.964
Indigofera,dendroides,,,2.36
Indigofera,densiflora,,,4.1
Indigofera,depauperata,,,10.6648
Indigofera,diphylla,,,1.0212
Indigofera,dissitiflora,,tenuis,1.7776
Indigofera,echinata,,,10.3
Indigofera,emarginata,,,3.7616
Indigofera,emarginella,,,1.76048
Indigofera,endecaphylla,,,2.1
Indigofera,eriocarpa,,,2.5784
Indigofera,filicaulis,,,4.5
Indigofera,filifolia,,,9
Indigofera,filipes,,,1.6708
Indigofera,flavicans,,,1.9952
Indigofera,fleckii,,,1.6188
Indigofera,frutescens,,,13.9
Indigofera,fulgens,brachybotrys,,4.0213
Indigofera,fulvopilosa,,,1.4323
Indigofera,garckeana,,,8.6784
Indigofera,geminata,,,0.7668
Indigofera,georgei,,,2.4316
Indigofera,glaucescens,,,3.8968
Indigofera,glomerata,,,1.5812
Indigofera,grata,,,2.33
Indigofera,griseoides,,,2.318
Indigofera,haplophylla,,,2.6896
Indigofera,hedyantha,,,2.528
Indigofera,helmsii,,,3.954
Indigofera,hendecaphylla,,,1.5
Indigofera,heterophylla,,,4.0388
Indigofera,hilaris,,,1.9234
Indigofera,hirsuta,,,2.2
Indigofera,hochstetteri,,,1.193
Indigofera,homblei,,,5.6364
Indigofera,incana,,,3.6752
Indigofera,interrupta,,,3.6464
Indigofera,intricata,,,2.284
Indigofera,jaliscensis,,,4.4
Indigofera,kerstingii,,,1.676
Indigofera,kirkii,,,0.8468
Indigofera,latipetiolata,,,7.8748
Indigofera,leprieurii,,,3.142
Indigofera,leptoclada,,,0.8616
Indigofera,leptosepala,,,4.6
Indigofera,leucoclada,,,4.652
Indigofera,leucotricha,,,7.2416
Indigofera,lindheimeriana,,,5.058
Indigofera,linifolia,,,1.4
Indigofera,linnaei,,,3.38
Indigofera,longibractea,,,8.148
Indigofera,longiracemosa,,,3.8937
Indigofera,longistaminata,,,5.4204
Indigofera,lupatana,,,6.4272
Indigofera,lyallii,,,6.18
Indigofera,lyallii,nyassica,,7.636
Indigofera,macrocalyx,,,2.0278
Indigofera,macrophylla,,,3.1304
Indigofera,malacostachys,,,2.6972
Indigofera,melanadenia,,,3.3556
Indigofera,microcarpa,,,1.533
Indigofera,monantha,,,0.3128
Indigofera,monophylla,,,5.7284
Indigofera,mouroudavensis,,,0.617
Indigofera,nigrescens,,,2.93384
Indigofera,nigritana,,,1.134
Indigofera,nudicaulis,,,10.5464
Indigofera,nummulariifolia,,,9.8
Indigofera,oblongifolia,,,1.79
Indigofera,omissa,,,1.868
Indigofera,ormocarpoides,,,1.897
Indigofera,paniculata,,,1.459
Indigofera,paniculata,paniculata,,1.0332
Indigofera,pascuorum,,,3.96
Indigofera,patula,patula,,0.316
Indigofera,pedunculata,,,2.4156
Indigofera,pilosa,,,0.9
Indigofera,podophylla,,,1.406
Indigofera,polysphaera,,,1.7064
Indigofera,pratensis,,,5.80436
Indigofera,praticola,,,0.85
Indigofera,prieureana,,,2.414
Indigofera,psammophila,,,2.9256
Indigofera,pulchra,,,1.391
Indigofera,rautanenii,,,1.358
Indigofera,rhynchocarpa,,,7.0806
Indigofera,rothii,,,4
Indigofera,sanguinea,,,2.9568
Indigofera,schimperi,,,1.5216
Indigofera,schimperi,,schimperi,2.0357
Indigofera,schimperi,,baukeana,7.788
Indigofera,schliebenii,,,1.079
Indigofera,secundiflora,,,1.2621
Indigofera,secundiflora,,secundiflora,0.959
Indigofera,secundiflora,,rubripilosa,1.2008
Indigofera,senegalensis,,,1.2
Indigofera,sessiliflora,,,1.1532
Indigofera,simaoensis,,,3.1604
Indigofera,simplicifolia,,,0.966
Indigofera,sphaerocarpa,,,4
Indigofera,spicata,,,1.886
Indigofera,spinosa,,,2.4664
Indigofera,stachyodes,,,4.9664
Indigofera,stricta,,,3.50704
Indigofera,strobilifera,,,0.8693
Indigofera,subulifera,,,0.79
Indigofera,suffruticosa,,,3.2
Indigofera,sulcata,,,0.4
Indigofera,superba,,,5.2776
Indigofera,swaziensis,,swaziensis,5.955
Indigofera,swaziensis,,perplexa,6.2278
Indigofera,taylorii,,,1.564
Indigofera,terminalis,,,1.986
Indigofera,tetrasperma,,,5.2424
Indigofera,tinctoria,,,2.8
Indigofera,tinctoria,,tinctoria,2.752
Indigofera,trachyphylla,,,0.86
Indigofera,trigonelloides,,,0.7312
Indigofera,tristoides,,,5.7896
Indigofera,vohemarensis,,,0.961
Indigofera,volkensii,,,0.9508
Indigofera,williamsonii,,,1.7508
Indigofera,zenkeri,,,0.8232
Indigofera,zeyheri,,,4.0324
Inga,acrocephala,,,1480
Inga,cf.,,,1970
Inga,edulis,,,539
Inga,leiocalycina,,,515
Inga,marginata,,,200
Inga,mathewsiana,,,475
Inga,minutula,,,380
Inga,nobilis,nobilis,,480
Inga,oerstediana,,,4.7596
Inga,sapindoides,,,350
Inga,semialata,,,200
Inga,sp.,,,1030
Inga,splendens,,,1970
Intsia,bijuga,,,1370.47
Intsia,palembanica,,,7000
Irenepharsus,phasmatodes,,,0.1696
Irenepharsus,trypherus,,,0.0944
Isatis,aucheri,,,4
Isatis,costata,,,4.7692
Isatis,iberica,,,4.72
Isatis,lusitanica,,,9.1
Isatis,microcarpa,,,0.607
Isatis,platyloba,,,7.3148
Isatis,praecox,,,7.3516
Isatis,reticulata,,,6.7424
Isatis,steveniana,,,22.1956
Isatis,subradiata,,,11.0948
Isatis,tinctoria,,,3
Iskandera,alaica,,,1.9833333
Isoberlinia,angolensis,,,2990
Isomeris,arborea,,,55.8
Isotropis,atropurpurea,,,11.56
Ivesia,lycopodioides,,,0.249
Ixonanthes,reticulata,,,3
Jacaratia,digitata,,,40
Jacaratia,dolichaula,,,60
Jacaratia,mexicana,,,48.1828
Jacksonia,alata,,,1.2892
Jacksonia,anthoclada,,,8.5804
Jacksonia,calycina,,,2.9572
Jacksonia,cupulifera,,,15.9604
Jacksonia,dilatata,,,3.16084
Jacksonia,floribunda,,,8.69
Jacksonia,furcellata,,,6.0368
Jacksonia,grevilleoides,,,2.6952
Jacksonia,horrida,,,4.602
Jacksonia,nutans,,,2.5904
Jacksonia,pungens,,,6.06
Jacksonia,quairading,,,3.5017442
Jacksonia,racemosa,,,2.3848
Jacksonia,rhadinoclona,,,2.1268
Jacksonia,rigida,,,7.5212
Jacksonia,scoparia,,,3.7388
Jacksonia,spinosa,,,2.5916
Jacksonia,thesioides,,,1.8036
Jacksonia,vernicosa,,,1.7096
Jacksonia,viscosa,,,4.9432
Jagera,pseudorhus,,,36.15
Janusia,gracilis,,,5.9508
Jarilla,heterophylla,heterophylla,,11.1075
Jatropha,cinerea,,,532.36
Jatropha,cordata,,,245
Jatropha,curcas,,,551
Jatropha,dhofarica,,,57.4412
Jatropha,dioica,,,266
Jatropha,gossypiifolia,,,49.454
Jatropha,integerrima,,,40
Jatropha,macrorhiza,,,101
Jatropha,mahafalensis,,,804.42
Jatropha,natalensis,,,126.3839286
Jatropha,neopauciflora,,,512.32
Jatropha,oaxacana,,,856.24
Jatropha,pseudocurcas,,,129.28
Jatropha,rzedowskii,,,386.9276
Jatropha,schlechteri,setifera,,102.8
Jatropha,spicata,,,64.29
Juglans,ailantifolia,,,6767
Juglans,californica,,,9081.42
Juglans,cinerea,,,14026
Juglans,hindsii,,,9068.04
Juglans,jamaicensis,,,8444.1630901
Juglans,major,,,5019.96
Juglans,mandshurica,,,9259
Juglans,microcarpa,,,4965.18
Juglans,neotropica,,,26316
Juglans,nigra,,,11303
Juglans,regia,,marbot,6711
Juglans,regia,,,11490
Juglans,sieboldiana,,,6494
Juglans,sieboldiana,,cordiformis,4651
Julbernardia,globiflora,,,364
Julbernardia,paniculata,,,347.284
Kageneckia,oblonga,,,3.9084
Kallstroemia,grandiflora,,,4.2056
Kardomia,jucunda,,,0.2572
Kardomia,odontocalyx,,,0.0902579
Kardomia,prominens,,,0.1088
Karwinskia,calderonii,,,64
Karwinskia,humboldtiana,,,55.98
Karwinskia,mollis,,,44.3254
Kedrostis,crassirostrata,,,26.81
Kedrostis,foetidissima,,,9.755
Kedrostis,leloja,,,11.9336
Kelleria,croizatii,,,0.4554348
Kelleria,dieffenbachii,,,0.59
Kelleria,laxa,,,0.78
Kennedia,beckxiana,,,24.822
Kennedia,coccinea,,,18.67
Kennedia,eximia,,,6.152
Kennedia,glabrata,,,5.59
Kennedia,lateritia,,,16.2952
Kennedia,nigricans,,,14.4652
Kennedia,prostrata,,,19.11
Kennedia,retrorsa,,,43.035
Kennedia,rubicunda,,,25.4
Kennedia,stirlingii,,,38.77
Keraudrenia,collina,,,1.9276
Keraudrenia,corollata,,denticulata,2.0453488
Keraudrenia,hermanniifolia,,,2.2
Keraudrenia,hookeriana,,,2.0956
Keraudrenia,integrifolia,,,1.7588
Keraudrenia,velutina,elliptica,,1.7412
Kernera,saxatilis,,,0.14
Kerria,japonica,,,12.5
Khaya,anthotheca,,,258
Khaya,grandifolia,,,251.57
Khaya,grandifoliola,,,230
Khaya,ivorensis,,,201
Khaya,madagascariensis,,,785.24
Khaya,nyasica,,,220.94
Khaya,senegalensis,,,237
Kiggelaria,africana,,,42.13
Kingiodendron,pinnatum,,,6250
Kirkia,acuminata,,,102.25
Kirkia,dewinteri,,,4.914
Kirkia,excelsa,,,80.5
Kirkia,wilmsii,,,13.9892
Kitaibela,balansae,,,3.9668
Kleinhovia,hospita,,,8.9
Koeberlinia,spinosa,,,5.154
Koehneria,madagascariensis,,,0.2961
Koelreuteria,bipinnata,,,67
Koelreuteria,formosana,,,40
Koelreuteria,paniculata,,,119.1
Kokoona,reflexa,,,460
Kosteletzkya,adoensis,,,4.2210084
Kosteletzkya,pentacarpa,,,24.6475728
Kosteletzkya,virginica,,,18.6
Kotschya,aeschynomenoides,,,2.2296
Kotschya,strigosa,,,2.67
Kotschya,thymodora,septentrionalis,,3.6732
Kotschya,uguenensis,,,3.8056
Krameria,cistoidea,,,231.86
Krameria,erecta,,,104.5672
Krameria,grayi,,,64.956
Krameria,lanceolata,,,113.0884
Kummerowia,stipulacea,,,1.9
Kummerowia,striata,,,1.25
Kunstleria,ridleyi,,,190
Kunzea,acicularis,,,0.1028
Kunzea,ambigua,,,0.03124
Kunzea,bracteolata,,,0.069
Kunzea,cambagei,,,1.0396
Kunzea,capitata,,,0.049
Kunzea,ericifolia,subulata,,0.19692
Kunzea,ericoides,,,0.08
Kunzea,flavescens,,,0.034
Kunzea,glabrescens,,,0.162
Kunzea,montana,,,0.2255
Kunzea,muelleri,,,0.1444
Kunzea,obovata,,,0.0338828
Kunzea,opposita,,,0.0413793
Kunzea,parvifolia,,,0.1
Kunzea,pauciflora,,,0.1436
Kunzea,pomifera,,,1.324
Kunzea,pulchella,,,0.12892
Kunzea,recurva,,,0.0708
Kunzea,similis,similis,,0.262
Kunzea,similis,mediterranea,,0.3836
Kydia,calycina,,,10
Kydia,glabrescens,,,4.3956
Labichea,buettneriana,,,88.04
Labichea,lanceolata,lanceolata,,57.2556
Labichea,lanceolata,brevifolia,,41.28068
Labichea,rupestris,,,39.9388
Labichea,teretifolia,,,31.9
Lablab,purpureus,,,224.7
Lablab,purpureus,uncinatus,,89.408
Laburnum,alpinum,,,26.5
Laburnum,anagyroides,,,34.6
Laburnum,watereri,,,22.6036
Lachnaea,grandiflora,,,2.5384615
Lacistema,aggregatum,,,35.2
Laetia,corymbulosa,,,9.5
Laetia,procera,,,4
Lafoensia,punicifolia,,,28
Lagenaria,breviflora,,,41.732
Lagenaria,leucantha,,,166.7
Lagenaria,siceraria,,,154
Lagenaria,sphaerica,,,62.51
Lagerstroemia,archeriana,archeriana,,4.336
Lagerstroemia,calyculata,,,7.92
Lagerstroemia,floribunda,,,9.02
Lagerstroemia,flos-reginae,,,11.6
Lagerstroemia,hypoleuca,,,4.37
Lagerstroemia,indica,,,2.1
Lagerstroemia,lanceolata,,,78
Lagerstroemia,parviflora,,,36.95
Lagerstroemia,speciosa,,,5.6
Lagerstroemia,tomentosa,,,2.8
Lagunaria,patersoni,,,4.74
Lagunaria,patersonia,patersonia,,52.039
Lagunaria,patersonii,,,48.2
Laguncularia,racemosa,,,280
Lamarchea,hakeifolia,,,0.8144
Lamarchea,hakeifolia,,brevifolia,2.5488
Lamprolobium,fruticosum,,,42.1584
Lamprolobium,grandiflorum,,,35.024
Lannea,acida,,,125.74
Lannea,alata,,,332.6666
Lannea,barteri,,,190.6276
Lannea,coromandelica,,,132
Lannea,edulis,,edulis,121.26
Lannea,grandis,,,94.34
Lannea,microcarpa,,,173
Lannea,schweinfurthii,,,25
Lannea,schweinfurthii,,stuhlmannii,136.9936
Lannea,welwitschii,,ciliolata,61.4088
Lannea,zastrowiana,,,208.4044
Lansium,sp.,,,5100
Laportea,alatipes,,,1.4112
Laportea,canadensis,,,2.126
Larrea,divaricata,,,2.4
Larrea,tridentata,,,7
Lasiocarpus,ferrugineus,,,3.4308
Lasiopetalum,baueri,,,1.64
Lasiopetalum,behrii,,,2.8428
Lasiopetalum,compactum,,,1.2036
Lasiopetalum,dielsii,,,2.22
Lasiopetalum,discolor,,,2.0752
Lasiopetalum,ferrugineum,,,1.8
Lasiopetalum,ferrugineum,,cordatum,1.9912
Lasiopetalum,floribundum,,,0.9592
Lasiopetalum,joyceae,,,2.148
Lasiopetalum,lineare,,,1.5909091
Lasiopetalum,longistamineum,,,1.8
Lasiopetalum,macrophyllum,,,2.22
Lasiopetalum,maxwellii,,,1.3451613
Lasiopetalum,membranaceum,,,2.3375
Lasiopetalum,membraniflorum,,,1.87952
Lasiopetalum,micranthum,,,1.5406
Lasiopetalum,parviflorum,,,0.8472
Lasiopetalum,pterocarpum,,,8.064
Lasiopetalum,rotundifolium,,,1.12
Lasiopetalum,rufum,,,2.052
Lasiopetalum,schulzenii,,,1.55992
Lathyrus,amphicarpos,,,76.4
Lathyrus,angulatus,,,4.4
Lathyrus,annuus,,,62.3
Lathyrus,aphaca,,pseudoaphaca,23.0222222
Lathyrus,aphaca,,,20
Lathyrus,aureus,,,30.4976
Lathyrus,basalticus,,,61.1
Lathyrus,bauhini,,,17.454
Lathyrus,belinensis,,,24.16
Lathyrus,blancheana,,,78.784058
Lathyrus,blepharicarpus,,,68.3
Lathyrus,cassius,,,24.02
Lathyrus,chloranthus,,,37.82
Lathyrus,chrysanthus,,,36.7
Lathyrus,cicera,,,73
Lathyrus,cilicicus,,,14.8284585
Lathyrus,ciliolatus,,,40.29
Lathyrus,cirrhosus,,,36.8599
Lathyrus,clymenum,,,61.6
Lathyrus,digitatus,,,15
Lathyrus,eucosmus,,,64.8964
Lathyrus,gloeosperma,,,97
Lathyrus,gorgoni,,,59.6
Lathyrus,grandiflorus,,,24.7
Lathyrus,heterophyllus,,,73.401
Lathyrus,hierosolymitanus,,,36.6
Lathyrus,hirsutus,,,24.9
Lathyrus,inconspicuus,,,15.9
Lathyrus,incurvus,,,17
Lathyrus,japonicus,japonicus,,19.8624
Lathyrus,japonicus,,,27.09
Lathyrus,japonicus,maritimus,,25.26
Lathyrus,ketzkhovelii,,,13.3312
Lathyrus,komarovii,,,62.4055556
Lathyrus,laevigatus,occidentalis,,16.5
Lathyrus,latifolius,,,40.3
Lathyrus,laxiflorus,,,9.89
Lathyrus,laxiflorus,laxiflorus,,11.1
Lathyrus,lentiformis,,,19.567
Lathyrus,linifolius,,,11
Lathyrus,littoralis,,,75.2348
Lathyrus,marmoratus,,,52.6
Lathyrus,nervosus,,,8.4375
Lathyrus,neurolobus,,,3.245
Lathyrus,nevadensis,,,16.7
Lathyrus,niger,niger,,15.82
Lathyrus,niger,,,16.78
Lathyrus,nissolia,,,7.6
Lathyrus,ochroleucus,,,16.644
Lathyrus,ochrus,,,84.05
Lathyrus,oderatus,,,75.0276243
Lathyrus,odoratus,,,69.2
Lathyrus,pallescens,,,14.6
Lathyrus,palustris,,,14.9
Lathyrus,pisiformis,,,13.9844444
Lathyrus,polymorphus,polymorphus,,85.4
Lathyrus,pratensis,,,12.8
Lathyrus,pseudocicera,,,59.2
Lathyrus,roseus,,,31.24
Lathyrus,rotundifolius,,,52.08
Lathyrus,rotundifolius,miniatus,,26.902
Lathyrus,sativus,,,162
Lathyrus,setifolius,,,55.38
Lathyrus,sp.,,,73.7
Lathyrus,sphaericus,,,17.4
Lathyrus,stenophyllus,,,15.355
Lathyrus,subandinus,,,24.9
Lathyrus,sylvestris,,,37
Lathyrus,tingitanus,,,93.5
Lathyrus,tuberosus,,,30.3
Lathyrus,venetus,,,16.2876
Lathyrus,venosus,,,32.761
Lathyrus,vernus,,,15
Lathyrus,vestitus,,,22.708
Lathyrus,vestitus,vestitus,,31.652
Lathyrus,vinealis,,,5.5255
Latrobea,colophona,,,1.8806
Laurophyllus,capensis,,,3.955
Lavatera,assurgentiflora,,,51
Lavatera,plebeia,,,5.01
Lavatera,punctata,,,5.3
Lavatera,triloba,triloba,,9.6
Lavatera,trimestris,,,5.4
Lawrencia,densiflora,,,0.7716
Lawrencia,glomerata,,,1.441
Lawrencia,spicata,,,1.882
Lawrencia,squamata,,,1.7104
Lawsonia,inermis,,,1.21
Leandra,dichotoma,,,0.008
Leandra,rufescens,,,0.8
Lebeckia,contaminata,,,2.2
Lecaniodiscus,cupanioides,,,341.1713226
Lecaniodiscus,fraxinifolius,,,240.7236
Lecanthus,peduncularis,,,0.12688
Lechea,intermedia,,intermedia,0.246
Lechea,maritima,,,0.3202
Lechea,mucronata,,,0.01428
Lechea,sansabeana,,,0.1624
Lechea,stricta,,,0.2
Lechea,tenuifolia,,,0.1
Lechea,villosa,,,0.1
Lecointea,amazonica,,,1800
Leionema,carruthersii,,,3.4567901
Leionema,dentatum,,,3.4324
Leionema,diosmeum,,,1.9912
Leionema,elatius,beckleri,,2.0008
Leionema,equestre,,,3.7092
Leionema,hillebrandii,,,4.774
Leionema,lamprophyllum,orbiculare,,2.105679
Leionema,microphyllum,,,5.038
Leionema,montanum,,,2.6828
Leionema,phylicifolium,,,2.202
Leionema,ralstonii,,,4.5524
Leionema,rotundifolium,,,7.0382883
Lembotropis,nigricans,,,4.3
Lemurodendron,capuronii,,,250.4
Lemuropisum,edule,,,1248.0620155
Lemurosicyos,variegata,,,23.963
Lens,culinaris,odemensis,,7.7866
Lens,culinaris,,,27
Lens,culinaris,orientalis,,14.1
Lens,ervoides,,,5.3
Lens,lamottei,,,12.0639
Lens,nigricans,,,6.4
Lenwebbia,prominens,,,9.3196
Leonia,glycycarpa,,,717
Lepiderema,largiflorens,,,420
Lepidium,africanum,,,0.346
Lepidium,alyssoides,,,0.394
Lepidium,angustissimum,,,0.9672
Lepidium,apetalum,,,0.2148
Lepidium,aschersonii,,,0.5192
Lepidium,aucheri,,,1.774
Lepidium,bonariense,,,0.236
Lepidium,campestre,,,2.313
Lepidium,catapycnon,,,2.6431
Lepidium,chichicara,,,0.3348
Lepidium,crenatum,,,0.3592
Lepidium,cuneiforme,,,0.0092
Lepidium,densiflorum,,,0.8
Lepidium,desvauxii,,,0.361
Lepidium,dictyotum,,,0.345
Lepidium,didymum,,,0.618
Lepidium,draba,,,1.8
Lepidium,draba,chalepense,,1.2292
Lepidium,fasciculatum,,,0.237
Lepidium,ferganense,,,0.5588
Lepidium,filicaule,,,0.4868
Lepidium,flavum,,,0.448
Lepidium,foliosum,,,0.77
Lepidium,fremontii,,,0.374
Lepidium,genistoides,,,3.648
Lepidium,graminifolium,,,0.2568
Lepidium,heterophyllum,,,1.632
Lepidium,hirtum,,,3.0832
Lepidium,hyssopifolium,,,0.2758
Lepidium,lasiocarpum,lasiocarpum,,0.324
Lepidium,lasiocarpum,,,0.3
Lepidium,latifolium,,,0.1
Lepidium,leptopetalum,,,3.8692
Lepidium,monoplocoides,,,0.7203
Lepidium,montanum,,angustifolium,0.5
Lepidium,montanum,,jonesii,0.6024
Lepidium,muelleri-ferdinandi,,,0.535
Lepidium,muelleriferdinandi,,,0.49
Lepidium,nitidum,,,0.73
Lepidium,nitidum,,nitidum,0.6288
Lepidium,oblongum,,,0.281
Lepidium,obtusum,,,0.1732
Lepidium,oleraceum,,,0.4356
Lepidium,oxycarpum,,,0.475
Lepidium,oxytrichum,,,0.88
Lepidium,paniculatum,,,5.2748
Lepidium,papillosum,,,0.4716
Lepidium,perfoliatum,,,0.9
Lepidium,phlebopetalum,,,2.017
Lepidium,pseudohyssopifolium,,,0.27
Lepidium,pseudopapillosum,,,0.7288
Lepidium,pseudotasmanicum,,,0.20864
Lepidium,ramosissimum,,,0.22
Lepidium,rotundum,,,1.206
Lepidium,ruderale,,,0.2894
Lepidium,sagittulatum,,,0.3174
Lepidium,sativum,,,2.1
Lepidium,sativum,spinescens,,1.269
Lepidium,seravschanicum,,,0.8152
Lepidium,spinosum,,,1.45
Lepidium,strongylophyllum,,,3.6432
Lepidium,vesicarium,,,0.3208
Lepidium,villarsii,,,2.1644
Lepidium,virginicum,,,0.5
Lepidium,virginicum,,pubescens,0.448
Leptaleum,filifolium,,,0.1068
Leptoderris,brachyptera,,,84.7926471
Leptoderris,goetzii,,,128.0054645
Leptolaena,cuspidata,,,17.524
Leptolaena,itremoensis,,,4.8116
Leptolaena,pauciflora,,,14.62
Leptonychia,usambarensis,,,67
Leptosema,anomalum,,,3.8556
Leptosema,oxylobioides,,,3.5592
Leptospermum,arachnoides,,,0.09
Leptospermum,argenteum,,,0.7588
