sp_tpl,tpl_authority,order,family,genus,Lifeform,Seed.mass,Precip_Avg,Precip_SD,support,woodiness,nfixing,dormancy,lifeform_baskin,biome,table,rank,duplicated_sp,dormancy_g3,dormancy_g2
Eucalyptus annulata,Benth.,Myrtales,Myrtaceae,Eucalyptus,,NA,579.5,126.1627907,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus astringens,(Maiden) Maiden,Myrtales,Myrtaceae,Eucalyptus,,NA,578.5,91.66666667,F,W,No,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus captiosa,Brooker & Hopper,Myrtales,Myrtaceae,Eucalyptus,,NA,454.5,41.66666667,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus decipiens,Endl.,Myrtales,Myrtaceae,Eucalyptus,,NA,721,167.8294574,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus falcata,Turcz.,Myrtales,Myrtaceae,Eucalyptus,,NA,658,192.248062,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus flocktoniae,(Maiden) Maiden,Myrtales,Myrtaceae,Eucalyptus,,NA,456,80.62015504,F,W,No,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus incrassata,Labill.,Myrtales,Myrtaceae,Eucalyptus,,NA,777.5,238.5658915,F,W,No,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus lehmannii,(Schauer) Benth.,Myrtales,Myrtaceae,Eucalyptus,,NA,787.5,193.9922481,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus melanophitra,Brooker & Hopper,Myrtales,Myrtaceae,Eucalyptus,,NA,516,57.36434109,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus neutra,D.Nicolle,Myrtales,Myrtaceae,Eucalyptus,,NA,472.5,74.2248062,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus occidentalis,Endl.,Myrtales,Myrtaceae,Eucalyptus,,NA,721,167.8294574,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus odontocarpa,F.Muell.,Myrtales,Myrtaceae,Eucalyptus,,NA,425,82.17054264,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus phaenophylla,Brooker & Hopper,Myrtales,Myrtaceae,Eucalyptus,,NA,557.5,115.6976744,F,W,No,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus phenax,Brooker & Slee,Myrtales,Myrtaceae,Eucalyptus,,NA,542.5,118.7984496,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus platypus,Hook.f.,Myrtales,Myrtaceae,Eucalyptus,,NA,614.5,102.5193798,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus pluricaulis,Brooker & Hopper,Myrtales,Myrtaceae,Eucalyptus,,NA,581.5,106.0077519,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus preissiana,Schauer,Myrtales,Myrtaceae,Eucalyptus,,NA,629,101.1627907,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus tetragona,(R.Br.) F.Muell.,Myrtales,Myrtaceae,Eucalyptus,,NA,595,98.0620155,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus tetraptera,Turcz.,Myrtales,Myrtaceae,Eucalyptus,,NA,528.5,106.3953488,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus thamnoides,Brooker & Hopper,Myrtales,Myrtaceae,Eucalyptus,,NA,560,98.8372093,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus uncinata,Turcz.,Myrtales,Myrtaceae,Eucalyptus,,NA,531,117.4418605,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus vegrandis,L.A.S.Johnson & K.D.Hill,Myrtales,Myrtaceae,Eucalyptus,,NA,714.5,151.744186,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus vesiculosa,Brooker & Hopper,Myrtales,Myrtaceae,Eucalyptus,,NA,519,56.20155039,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Eucalyptus xanthonema,Turcz.,Myrtales,Myrtaceae,Eucalyptus,,NA,578.5,85.46511628,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Euphorbia cyparissias,L.,Malpighiales,Euphorbiaceae,Euphorbia,,NA,1348,436.8217054,F,H,NA,NA,NA,NA,NA,NA,no,NA,NA
Exocarpos sparteus,R.Br.,Santalales,Santalaceae,Exocarpos,,NA,909.5,286.627907,P,NA,NA,NA,NA,NA,NA,NA,no,NA,MPD
Falcaria vulgaris,Bernh.,Apiales,Apiaceae,Falcaria,,NA,748,210.0775194,NA,NA,NA,MPD,herb-weed,temperate deciduous forest,1019,10450,no,MPD,MPD
Felicia filifolia,(Vent.) Burtt Davy,Asterales,Asteraceae,Felicia,,NA,953.5,322.2868217,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Festuca idahoensis,Elmer,Poales,Poaceae,Festuca,,NA,1665,591.4728682,F,H,NA,PD,herb,temperate desert,1029,11402,no,PD,PD
Festuca occidentalis,Hook.,Poales,Poaceae,Festuca,,NA,1598.5,515.3100775,F,H,NA,NA,NA,NA,NA,NA,no,PD,PD
Festuca ovina,L.,Poales,Poaceae,Festuca,,NA,2002,710.8527132,F,H,No,PD,herb,temperate desert,1029,11403,no,PD,PD
Festuca pseudovina,Hack. ex Wiesb.,Poales,Poaceae,Festuca,,NA,889,238.7596899,F,NA,NA,NA,NA,NA,NA,NA,no,PD,PD
Festuca rupicola,Heuff.,Poales,Poaceae,Festuca,,NA,930,272.0930233,F,H,NA,NA,NA,NA,NA,NA,no,PD,PD
Filipendula vulgaris,Moench,Rosales,Rosaceae,Filipendula,,NA,1289,393.7984496,F,H,No,NA,NA,NA,NA,NA,no,PD,PD
Gaillardia aristata,Pursh,Asterales,Asteraceae,Gaillardia,,NA,1133,373.255814,F,H,NA,NA,NA,NA,NA,NA,no,PD,PD
Gaillardia pulchella,Foug.,Asterales,Asteraceae,Gaillardia,,NA,2239.5,860.6589147,F,NA,NA,PD,herbaceous annuals weed,"hot semidesert, desert",932,6117,no,PD,PD
Galenia sarcophylla,Fenzl,Caryophyllales,Aizoaceae,Galenia,,NA,380.5,142.8294574,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Galium album,Mill.,Gentianales,Rubiaceae,Galium,,NA,1285.5,452.5193798,F,H,NA,NA,NA,NA,NA,NA,no,PD,PD
Galium verum,L.,Gentianales,Rubiaceae,Galium,,NA,1434,506.5891473,F,H,No,PD,forb,temperate grassland,1024,10849,yes,PD,PD
Gastrolobium parviflorum,(Benth.) Crisp,Fabales,Fabaceae,Gastrolobium,,NA,585.5,116.4728682,NA,NA,NA,NA,NA,NA,NA,NA,no,PY,PY
Gastrolobium racemosum,(Turcz.) Crisp,Fabales,Fabaceae,Gastrolobium,,NA,608.5,88.56589147,NA,NA,NA,PY,shrub,matorral,1002,6952,no,PY,PY
Gastrolobium spinosum,Benth.,Fabales,Fabaceae,Gastrolobium,,NA,672.5,186.627907,F,NA,Yes,NA,NA,NA,NA,NA,no,PY,PY
Geranium pratense,L.,Geraniales,Geraniaceae,Geranium,,NA,1314,476.3565891,F,H,NA,PY,herb-weed,temperate deciduous forest,1019,10466,yes,PY,PY
Geum macrophyllum,Willd.,Rosales,Rosaceae,Geum,,NA,2287.5,831.9767442,NA,NA,NA,ND,forb,temperate grassland,1024,10860,no,ND,ND
Gompholobium polyzygum,F.Muell.,Fabales,Fabaceae,Gompholobium,,NA,284,42.24806202,NA,NA,NA,NA,NA,NA,NA,NA,no,PY,PY
Goodenia azurea,F.Muell.,Asterales,Goodeniaceae,Goodenia,,NA,372.5,77.71317829,F,H,NA,NA,NA,NA,NA,NA,no,PD,PD
Goodenia scapigera,R.Br.,Asterales,Goodeniaceae,Goodenia,,NA,672.5,156.7829457,F,H,NA,PD,herb,matorral,1004,7978,no,PD,PD
